id,アンケートID,案件名,回答者ID,完了フラグ,端末種類,性別,年齢,年代別,居住地,職業,できるだけ、地元でとれた野菜や果物を買いたいと思う。,地元の農家や生産者を応援できる商品に、特に魅力を感じる。,スーパーや店では、自分の住んでいる地域で生産された農産物かどうかを気にして選ぶことが多い。,地元の直売所や朝市での買い物には、価格以上の価値があると思う。,飲食店を選ぶとき、地元食材を使っているかどうかを重視したい。,少し高くても、環境に配慮して生産された農産物を選びたい。,できるだけ、プラスチック包装が少ない商品を選びたい。,食品ロス（食べ残しや賞味期限切れ）を減らすよう、普段から意識している。,将来の世代のために、環境負荷の少ない商品を選ぶべきだと思う。,児童労働のない生産体制で作られた商品を、できるだけ選びたい。,フェアトレードなど、生産者に適正な対価が支払われる仕組みの商品を選びたい。,働く人の人権や労働環境に配慮した企業の商品を優先的に買いたい。,農薬や化学肥料をできるだけ使っていない農産物を選びたい。,"生産者の顔やメッセージが表示されている農産物だと、より安心できる。",産地や生産方法の情報が明確な農産物を選びたい,同じような商品なら、環境や地域への配慮よりも、まず価格の安さで選びたい。,環境や労働倫理に配慮した商品であっても、普通の商品より高いと、あまり買う気にならない。,"環境や労働倫理に配慮した商品は、味や性能が劣るおそれがあるので、少し慎重になってしまう。",多少の不便があっても、環境や人、地域に配慮した選択をしたいと思う。,"環境や倫理に配慮した商品を選ぶことは、自分の生き方や価値観を表現することだと思う。",地元産や環境にやさしい商品を、家族や友人にも勧めたいと思う。,あなたの年齢について教えてください。,あなたの性別について教えてください
39194689,790233,FA_Toyo25,39194689,1,SP,男性,23,２０代,東京都,会社勤務（管理職）,そう思う,どちらともいえない,どちらともいえない,そう思わない,まったくそう思わない,まったくそう思わない,そう思う,そう思う,そう思わない,まったくそう思わない,どちらともいえない,そう思わない,そう思わない,そう思わない,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,20代,男性
39194706,790233,FA_Toyo25,39194706,1,SP,男性,39,３０代,山形県,公務員・教職員･非営利団体職員,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,男性
39194710,790233,FA_Toyo25,39194710,1,SP,男性,71,７０歳以上,山梨県,無職,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,60代以上,男性
39194753,790233,FA_Toyo25,39194753,1,SP,女性,22,２０代,兵庫県,無職,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,60代以上,女性
39194805,790233,FA_Toyo25,39194805,1,SP,女性,39,３０代,大阪府,会社勤務（一般社員）,とてもそう思う,とてもそう思う,どちらともいえない,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,どちらともいえない,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,まったくそう思わない,どちらともいえない,どちらともいえない,とてもそう思う,30代,女性
39194807,790233,FA_Toyo25,39194807,1,SP,女性,55,５０代,東京都,パート・アルバイト,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,そう思う,50代,女性
39194828,790233,FA_Toyo25,39194828,1,SP,男性,28,２０代,福岡県,会社勤務（一般社員）,そう思わない,どちらともいえない,まったくそう思わない,そう思わない,まったくそう思わない,そう思わない,まったくそう思わない,とてもそう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思わない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,そう思わない,20代,男性
39194830,790233,FA_Toyo25,39194830,1,PC,男性,39,３０代,愛知県,会社勤務（一般社員）,まったくそう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,まったくそう思わない,まったくそう思わない,まったくそう思わない,とてもそう思う,どちらともいえない,そう思う,どちらともいえない,まったくそう思わない,そう思わない,そう思わない,どちらともいえない,とてもそう思う,とてもそう思う,どちらともいえない,まったくそう思わない,まったくそう思わない,まったくそう思わない,30代,男性
39194844,790233,FA_Toyo25,39194844,1,PC,男性,76,７０歳以上,神奈川県,無職,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,そう思う,そう思わない,どちらともいえない,そう思わない,そう思う,そう思う,そう思う,60代以上,男性
39194880,790233,FA_Toyo25,39194880,1,SP,男性,29,２０代,東京都,専門職（医師等の医療関連の専門職）,まったくそう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,男性
39194881,790233,FA_Toyo25,39194881,1,PC,女性,56,５０代,岡山県,無職,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,50代,女性
39194884,790233,FA_Toyo25,39194884,1,SP,男性,48,４０代,愛知県,派遣社員・契約社員,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,そう思う,そう思わない,40代,男性
39194909,790233,FA_Toyo25,39194909,1,SP,女性,29,２０代,兵庫県,会社勤務（一般社員）,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,女性
39194912,790233,FA_Toyo25,39194912,1,PC,男性,64,６０代,山形県,自営業（商工サービス）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,とてもそう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,60代以上,男性
39194914,790233,FA_Toyo25,39194914,1,PC,女性,52,５０代,大阪府,会社勤務（一般社員）,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,そう思わない,とてもそう思う,どちらともいえない,そう思わない,まったくそう思わない,そう思う,50代,女性
39194919,790233,FA_Toyo25,39194919,1,SP,女性,47,４０代,京都府,無職,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,40代,女性
39194928,790233,FA_Toyo25,39194928,1,SP,女性,26,２０代,北海道,会社勤務（一般社員）,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,そう思わない,そう思わない,そう思う,どちらともいえない,そう思わない,そう思わない,まったくそう思わない,そう思わない,そう思わない,どちらともいえない,そう思わない,40代,女性
39194948,790233,FA_Toyo25,39194948,1,PC,女性,62,６０代,東京都,専業主婦・主夫,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,60代以上,女性
39194971,790233,FA_Toyo25,39194971,1,SP,女性,31,３０代,東京都,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,30代,女性
39195011,790233,FA_Toyo25,39195011,1,SP,女性,61,６０代,東京都,専業主婦・主夫,そう思う,そう思う,とてもそう思う,とてもそう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,とてもそう思う,60代以上,女性
39195016,790233,FA_Toyo25,39195016,1,SP,男性,17,１５歳以上,東京都,学生,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,10代または10代以下,男性
39195020,790233,FA_Toyo25,39195020,1,SP,女性,16,１５歳以上,埼玉県,学生,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,10代または10代以下,女性
39195035,790233,FA_Toyo25,39195035,1,PC,男性,15,１５歳以上,神奈川県,学生,とてもそう思う,とてもそう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,10代または10代以下,男性
39195041,790233,FA_Toyo25,39195041,1,SP,女性,71,７０歳以上,北海道,パート・アルバイト,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,60代以上,女性
39195045,790233,FA_Toyo25,39195045,1,SP,女性,24,２０代,埼玉県,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,女性
39195055,790233,FA_Toyo25,39195055,1,SP,男性,28,２０代,愛知県,会社勤務（一般社員）,とてもそう思う,そう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思わない,そう思う,どちらともいえない,まったくそう思わない,そう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,どちらともいえない,そう思わない,そう思わない,そう思う,とてもそう思う,そう思う,20代,男性
39195057,790233,FA_Toyo25,39195057,1,SP,女性,25,２０代,鳥取県,専業主婦・主夫,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,50代,女性
39195070,790233,FA_Toyo25,39195070,1,SP,女性,34,３０代,愛知県,会社勤務（一般社員）,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,そう思わない,そう思う,そう思う,そう思う,30代,女性
39195071,790233,FA_Toyo25,39195071,1,SP,男性,27,２０代,北海道,パート・アルバイト,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思わない,どちらともいえない,そう思う,とてもそう思う,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,20代,男性
39195076,790233,FA_Toyo25,39195076,1,PC,女性,60,６０代,福井県,パート・アルバイト,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,60代以上,女性
39195106,790233,FA_Toyo25,39195106,1,SP,女性,35,３０代,神奈川県,会社勤務（一般社員）,とてもそう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,とてもそう思う,どちらともいえない,とてもそう思う,とてもそう思う,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,そう思わない,そう思わない,まったくそう思わない,そう思う,どちらともいえない,そう思う,50代,女性
39195112,790233,FA_Toyo25,39195112,1,SP,女性,39,３０代,福岡県,派遣社員・契約社員,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,30代,女性
39195139,790233,FA_Toyo25,39195139,1,SP,女性,52,５０代,大阪府,無職,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,60代以上,男性
39195156,790233,FA_Toyo25,39195156,1,SP,男性,41,４０代,神奈川県,会社勤務（一般社員）,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,まったくそう思わない,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,40代,男性
39195162,790233,FA_Toyo25,39195162,1,SP,女性,17,１５歳以上,愛知県,学生,そう思う,そう思う,そう思わない,そう思わない,まったくそう思わない,そう思う,そう思わない,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,そう思う,そう思う,そう思わない,そう思う,そう思う,10代または10代以下,女性
39195177,790233,FA_Toyo25,39195177,1,SP,男性,22,２０代,兵庫県,学生,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,50代,男性
39195184,790233,FA_Toyo25,39195184,1,SP,女性,72,７０歳以上,埼玉県,無職,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,60代以上,女性
39195210,790233,FA_Toyo25,39195210,1,SP,男性,23,２０代,東京都,学生,そう思う,とてもそう思う,そう思う,そう思わない,そう思わない,そう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,そう思わない,どちらともいえない,そう思わない,そう思う,そう思う,とてもそう思う,20代,男性
39195226,790233,FA_Toyo25,39195226,1,PC,男性,27,２０代,北海道,会社勤務（一般社員）,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,30代,男性
39195250,790233,FA_Toyo25,39195250,1,SP,女性,27,２０代,福島県,会社勤務（管理職）,とてもそう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,そう思う,40代,男性
39195328,790233,FA_Toyo25,39195328,1,PC,男性,76,７０歳以上,神奈川県,派遣社員・契約社員,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思わない,どちらともいえない,そう思う,そう思う,そう思う,60代以上,男性
39195342,790233,FA_Toyo25,39195342,1,SP,女性,25,２０代,神奈川県,学生,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思わない,10代または10代以下,女性
39195371,790233,FA_Toyo25,39195371,1,SP,男性,27,２０代,福岡県,会社勤務（一般社員）,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,20代,男性
39195439,790233,FA_Toyo25,39195439,1,SP,男性,57,５０代,長崎県,会社勤務（一般社員）,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,どちらともいえない,そう思う,どちらともいえない,そう思わない,まったくそう思わない,とてもそう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,どちらともいえない,50代,男性
39195441,790233,FA_Toyo25,39195441,1,SP,女性,25,２０代,香川県,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,女性
39195451,790233,FA_Toyo25,39195451,1,SP,女性,27,２０代,東京都,パート・アルバイト,そう思わない,どちらともいえない,そう思わない,そう思わない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,20代,女性
39195470,790233,FA_Toyo25,39195470,1,SP,女性,34,３０代,愛知県,パート・アルバイト,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,女性
39195488,790233,FA_Toyo25,39195488,1,SP,男性,25,２０代,東京都,無職,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,男性
39195497,790233,FA_Toyo25,39195497,1,PC,男性,26,２０代,埼玉県,無職,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,60代以上,男性
39195498,790233,FA_Toyo25,39195498,1,SP,男性,16,１５歳以上,沖縄県,学生,そう思う,そう思う,どちらともいえない,そう思わない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思わない,そう思わない,どちらともいえない,そう思わない,そう思わない,10代または10代以下,男性
39195507,790233,FA_Toyo25,39195507,1,SP,男性,29,２０代,熊本県,無職,そう思わない,そう思わない,そう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思う,まったくそう思わない,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,そう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思う,20代,男性
39195531,790233,FA_Toyo25,39195531,1,SP,女性,25,２０代,三重県,会社勤務（一般社員）,どちらともいえない,そう思う,そう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,20代,女性
39195534,790233,FA_Toyo25,39195534,1,SP,男性,38,３０代,熊本県,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,男性
39195593,790233,FA_Toyo25,39195593,1,SP,男性,63,６０代,岐阜県,専門職（医師等の医療関連の専門職）,そう思う,そう思う,そう思う,どちらともいえない,そう思わない,そう思わない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,60代以上,男性
39195598,790233,FA_Toyo25,39195598,1,SP,女性,61,６０代,東京都,会社勤務（一般社員）,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,60代以上,女性
39195621,790233,FA_Toyo25,39195621,1,PC,男性,58,５０代,埼玉県,無職,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,どちらともいえない,とてもそう思う,とてもそう思う,とてもそう思う,50代,男性
39195626,790233,FA_Toyo25,39195626,1,SP,男性,29,２０代,愛知県,会社勤務（一般社員）,とてもそう思う,そう思う,そう思う,とてもそう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,とてもそう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,とてもそう思う,そう思う,そう思う,20代,男性
39195657,790233,FA_Toyo25,39195657,1,SP,男性,17,１５歳以上,福井県,学生,そう思う,とてもそう思う,とてもそう思う,そう思う,そう思わない,そう思う,そう思う,とてもそう思う,とてもそう思う,どちらともいえない,どちらともいえない,そう思う,そう思わない,とてもそう思う,とてもそう思う,そう思う,そう思う,とてもそう思う,どちらともいえない,そう思う,そう思う,10代または10代以下,男性
39195661,790233,FA_Toyo25,39195661,1,SP,女性,51,５０代,北海道,パート・アルバイト,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,50代,女性
39195670,790233,FA_Toyo25,39195670,1,SP,男性,31,３０代,愛媛県,会社勤務（一般社員）,どちらともいえない,そう思う,そう思う,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,まったくそう思わない,どちらともいえない,30代,男性
39195694,790233,FA_Toyo25,39195694,1,PC,男性,27,２０代,福島県,その他の職業,そう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,とてもそう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,20代,男性
39195713,790233,FA_Toyo25,39195713,1,SP,男性,32,３０代,千葉県,会社勤務（一般社員）,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,どちらともいえない,どちらともいえない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,どちらともいえない,まったくそう思わない,どちらともいえない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,30代,男性
39195720,790233,FA_Toyo25,39195720,1,SP,女性,15,１５歳以上,愛知県,学生,そう思う,そう思う,そう思わない,そう思う,そう思わない,そう思わない,そう思わない,そう思う,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思う,そう思わない,そう思わない,そう思う,そう思う,そう思う,そう思わない,どちらともいえない,そう思わない,10代または10代以下,女性
39195738,790233,FA_Toyo25,39195738,1,SP,男性,20,２０代,茨城県,会社勤務（一般社員）,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,とてもそう思う,そう思う,そう思わない,どちらともいえない,どちらともいえない,そう思わない,20代,男性
39195756,790233,FA_Toyo25,39195756,1,SP,男性,72,７０歳以上,青森県,無職,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,60代以上,男性
39195762,790233,FA_Toyo25,39195762,1,SP,男性,45,４０代,大阪府,会社勤務（管理職）,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,そう思わない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,40代,男性
